carat,cut,color,clarity,depth,table,price,x,y,z,price_per_carat,high_price,price_per_carat_with taxes
0.93,Very Good,F,SI1,59.8,58.0,4256,6.32,6.39,3.8,4576.34,1,5949.242
1.13,Premium,H,SI1,62.6,60.0,4256,6.68,6.62,4.16,3766.37,1,4896.281
1.0,Fair,E,SI2,65.2,56.0,4256,6.3,6.12,4.05,4256.0,1,5532.8
0.91,Premium,E,SI1,62.1,58.0,4256,6.18,6.15,3.83,4676.92,1,6079.996
1.01,Good,E,SI1,63.8,60.0,4256,6.36,6.31,4.04,4213.86,1,5478.018
0.91,Good,E,SI1,63.7,64.0,4256,6.09,6.03,3.86,4676.92,1,6079.996
0.91,Fair,E,SI1,65.0,62.0,4256,6.09,6.04,3.94,4676.92,1,6079.996
1.01,Fair,H,SI1,65.3,57.0,4256,6.33,6.23,4.1,4213.86,1,5478.018
1.0,Ideal,H,SI2,62.6,56.0,4256,6.38,6.34,3.98,4256.0,1,5532.8
1.0,Fair,F,SI1,66.4,57.0,4256,6.21,6.14,4.1,4256.0,1,5532.8
1.0,Premium,G,SI1,61.8,59.0,4256,6.43,6.38,3.96,4256.0,1,5532.8
0.91,Good,G,VS2,63.6,58.0,4257,6.1,6.14,3.89,4678.02,1,6081.426
0.91,Ideal,G,VS2,62.3,57.0,4257,6.18,6.24,3.87,4678.02,1,6081.426
1.04,Good,F,SI2,58.5,61.0,4257,6.63,6.68,3.89,4093.27,1,5321.251
1.06,Good,E,SI2,58.8,61.0,4257,6.63,6.67,3.91,4016.04,1,5220.852
1.01,Premium,F,SI2,61.8,56.0,4257,6.43,6.38,3.96,4214.85,1,5479.305
0.9,Very Good,H,VS2,63.6,58.0,4258,6.1,6.14,3.89,4731.11,1,6150.443
0.92,Good,E,SI1,63.7,57.0,4258,6.11,6.14,3.9,4628.26,1,6016.738
0.92,Good,E,SI1,63.2,58.0,4258,6.16,6.18,3.9,4628.26,1,6016.738
0.92,Ideal,E,SI1,61.4,54.6,4258,6.25,6.29,3.85,4628.26,1,6016.738
0.92,Premium,E,SI1,60.9,59.0,4258,6.25,6.27,3.81,4628.26,1,6016.738
0.73,Ideal,D,VS1,61.9,55.0,4258,5.78,5.81,3.59,5832.88,1,7582.744000000001
1.0,Good,E,SI2,61.5,61.0,4258,6.35,6.43,3.93,4258.0,1,5535.400000000001
0.84,Very Good,G,VVS2,60.4,55.0,4259,6.07,6.12,3.68,5070.24,1,6591.312
1.11,Ideal,J,SI1,62.1,56.0,4259,6.64,6.67,4.13,3836.94,1,4988.022
1.17,Premium,F,SI2,62.5,57.0,4259,6.8,6.71,4.22,3640.17,1,4732.2210000000005
0.9,Premium,G,VS2,60.8,61.0,4259,6.22,6.12,3.75,4732.22,1,6151.886
0.9,Premium,E,SI1,62.2,59.0,4259,6.21,6.16,3.88,4732.22,1,6151.886
0.9,Premium,G,VS2,62.1,59.0,4259,6.2,6.14,3.83,4732.22,1,6151.886
1.01,Very Good,D,SI2,60.8,61.0,4260,6.45,6.5,3.94,4217.82,1,5483.166
1.01,Premium,G,SI1,59.2,59.0,4260,6.52,6.58,3.88,4217.82,1,5483.166
1.01,Very Good,D,SI2,59.8,57.0,4260,6.51,6.57,3.91,4217.82,1,5483.166
1.01,Good,D,SI2,57.6,62.0,4260,6.56,6.66,3.81,4217.82,1,5483.166
1.01,Good,D,SI2,61.5,56.0,4260,6.36,6.42,3.93,4217.82,1,5483.166
1.01,Very Good,D,SI2,58.9,56.0,4260,6.55,6.59,3.87,4217.82,1,5483.166
1.01,Very Good,D,SI2,61.8,57.0,4260,6.42,6.47,3.98,4217.82,1,5483.166
1.01,Good,D,SI2,63.1,54.0,4260,6.37,6.43,4.04,4217.82,1,5483.166
1.0,Ideal,H,SI2,61.2,57.0,4260,6.42,6.45,3.94,4260.0,1,5538.0
1.01,Ideal,G,SI2,61.7,56.0,4260,6.47,6.43,3.98,4217.82,1,5483.166
0.9,Ideal,G,SI1,62.5,55.0,4260,6.17,6.21,3.87,4733.33,1,6153.329
1.01,Very Good,J,VS1,61.3,57.0,4262,6.43,6.5,3.96,4219.8,1,5485.740000000001
1.01,Very Good,H,SI2,61.5,62.0,4262,6.35,6.44,3.93,4219.8,1,5485.740000000001
0.8,Very Good,E,VS2,61.6,57.0,4263,5.95,5.97,3.67,5328.75,1,6927.375
1.01,Fair,I,VS1,64.9,58.0,4263,6.17,6.22,4.02,4220.79,1,5487.027
1.09,Ideal,H,SI2,62.0,57.0,4264,6.61,6.55,4.08,3911.93,1,5085.509
0.94,Premium,H,VS2,62.5,58.0,4264,6.26,6.18,3.89,4536.17,1,5897.021000000001
0.96,Very Good,G,SI1,60.3,57.0,4265,6.35,6.38,3.84,4442.71,1,5775.523
1.0,Fair,E,SI2,65.9,62.0,4265,6.09,6.02,3.99,4265.0,1,5544.5
0.91,Good,D,SI1,64.6,58.0,4265,6.02,6.12,3.92,4686.81,1,6092.853000000001
1.11,Premium,J,VS2,62.6,59.0,4265,6.6,6.56,4.12,3842.34,1,4995.042
1.0,Good,E,SI2,63.7,61.0,4265,6.27,6.2,3.97,4265.0,1,5544.5
0.93,Ideal,H,VS1,62.7,54.0,4265,6.25,6.2,3.9,4586.02,1,5961.826000000001
0.9,Premium,H,VS2,61.7,59.0,4266,6.13,6.19,3.8,4740.0,1,6162.0
1.06,Very Good,I,SI1,60.4,59.0,4267,6.56,6.61,3.98,4025.47,1,5233.111
1.06,Ideal,H,SI2,60.6,59.0,4267,6.63,6.6,4.01,4025.47,1,5233.111
0.91,Ideal,F,SI1,62.3,56.0,4267,6.16,6.19,3.85,4689.01,1,6095.713000000001
0.9,Very Good,F,VS2,64.2,59.0,4268,6.07,6.11,3.91,4742.22,1,6164.886
0.8,Premium,G,IF,62.6,58.0,4268,5.89,5.93,3.7,5335.0,1,6935.5
1.03,Very Good,H,SI2,62.3,57.0,4268,6.43,6.48,4.02,4143.69,1,5386.797
0.9,Good,F,VS2,65.0,58.0,4268,6.03,6.06,3.93,4742.22,1,6164.886
0.9,Good,F,VS2,64.5,60.0,4268,6.03,6.07,3.9,4742.22,1,6164.886
1.21,Premium,J,VS2,62.4,58.0,4268,6.83,6.79,4.25,3527.27,1,4585.451
1.03,Ideal,F,SI2,62.3,56.0,4268,6.51,6.43,4.03,4143.69,1,5386.797
1.01,Premium,G,SI2,60.1,59.0,4269,6.45,6.39,3.86,4226.73,1,5494.749
0.9,Premium,G,VS2,61.7,59.0,4269,6.14,6.22,3.81,4743.33,1,6166.329
0.9,Very Good,G,VS2,61.9,56.0,4269,6.17,6.23,3.84,4743.33,1,6166.329
0.9,Very Good,G,VS2,61.3,59.0,4269,6.15,6.21,3.79,4743.33,1,6166.329
0.9,Very Good,G,VS2,60.9,59.0,4269,6.18,6.24,3.78,4743.33,1,6166.329
0.9,Ideal,G,VS2,62.6,57.0,4269,6.14,6.2,3.86,4743.33,1,6166.329
0.9,Good,G,VS2,63.6,58.0,4269,6.08,6.12,3.88,4743.33,1,6166.329
1.0,Very Good,F,SI2,63.3,58.0,4269,6.26,6.29,3.97,4269.0,1,5549.7
0.9,Ideal,F,SI1,61.7,55.0,4269,6.19,6.16,3.81,4743.33,1,6166.329
1.01,Ideal,G,SI2,62.8,56.0,4269,6.4,6.44,4.03,4226.73,1,5494.749
1.1,Premium,I,SI2,62.6,59.0,4269,6.57,6.53,4.1,3880.91,1,5045.183
1.21,Good,J,SI2,63.7,55.0,4269,6.81,6.75,4.32,3528.1,1,4586.53
1.21,Premium,J,SI1,62.6,58.0,4269,6.74,6.71,4.21,3528.1,1,4586.53
1.01,Premium,G,SI2,60.1,60.0,4270,6.48,6.44,3.88,4227.72,1,5496.036000000001
1.01,Very Good,F,SI2,63.4,54.0,4270,6.42,6.39,4.06,4227.72,1,5496.036000000001
0.81,Ideal,F,VS1,61.8,55.0,4270,5.97,6.03,3.71,5271.6,1,6853.080000000001
1.06,Ideal,I,SI2,61.8,57.0,4270,6.57,6.6,4.07,4028.3,1,5236.79
1.15,Premium,G,SI2,62.7,58.0,4270,6.71,6.69,4.2,3713.04,1,4826.952
1.01,Very Good,E,SI2,63.3,57.0,4270,6.39,6.31,4.02,4227.72,1,5496.036000000001
1.01,Very Good,G,SI1,63.5,60.0,4271,6.41,6.38,3.92,4228.71,1,5497.323
0.83,Ideal,E,VS2,61.3,56.0,4271,6.06,6.08,3.72,5145.78,1,6689.514
1.13,Premium,I,SI2,59.9,57.0,4271,6.8,6.76,4.06,3779.65,1,4913.545
1.11,Very Good,I,SI1,61.9,59.0,4273,6.58,6.64,4.09,3849.55,1,5004.415
1.11,Ideal,I,SI1,62.4,55.0,4273,6.6,6.64,4.13,3849.55,1,5004.415
1.0,Very Good,H,SI2,59.7,58.0,4273,6.48,6.55,3.89,4273.0,1,5554.900000000001
1.0,Good,I,SI1,58.0,58.0,4273,6.56,6.62,3.82,4273.0,1,5554.900000000001
1.09,Premium,I,SI1,61.7,59.0,4273,6.59,6.53,4.05,3920.18,1,5096.234
1.09,Fair,I,SI1,56.4,62.0,4273,6.97,6.9,3.9,3920.18,1,5096.234
1.02,Premium,G,SI1,61.4,55.0,4273,6.51,6.48,3.99,4189.22,1,5445.986000000001
1.2,Very Good,F,SI2,63.3,59.0,4274,6.7,6.66,4.23,3561.67,1,4630.171
0.74,Good,D,VVS1,59.2,62.6,4274,5.85,5.87,3.47,5775.68,1,7508.384000000001
1.01,Good,H,SI1,64.6,56.0,4274,6.17,6.21,4.0,4231.68,1,5501.184
1.18,Premium,J,SI2,61.3,60.0,4274,6.83,6.78,4.17,3622.03,1,4708.639
1.0,Ideal,F,SI2,61.8,57.0,4274,6.45,6.36,3.96,4274.0,1,5556.2
1.03,Premium,H,SI1,62.4,58.0,4274,6.5,6.42,4.03,4149.51,1,5394.363
0.92,Premium,D,SI1,62.3,58.0,4274,6.27,6.21,3.89,4645.65,1,6039.344999999999
1.03,Premium,H,SI1,63.0,59.0,4274,6.43,6.4,4.04,4149.51,1,5394.363
0.96,Premium,D,SI2,60.0,61.0,4274,6.36,6.32,3.81,4452.08,1,5787.704
1.2,Premium,F,SI2,62.7,60.0,4274,6.73,6.67,4.21,3561.67,1,4630.171
0.65,Ideal,D,VVS2,60.7,57.0,4275,5.63,5.65,3.42,6576.92,1,8549.996000000001
1.1,Ideal,J,SI1,62.2,55.0,4275,6.62,6.65,4.13,3886.36,1,5052.268
1.01,Premium,F,SI1,62.7,54.0,4276,6.42,6.37,4.01,4233.66,1,5503.758
0.9,Very Good,G,VS2,58.4,61.0,4276,6.33,6.38,3.71,4751.11,1,6176.443
1.1,Very Good,H,SI1,63.0,58.0,4276,6.53,6.59,4.13,3887.27,1,5053.451
1.1,Very Good,H,SI1,62.1,58.0,4276,6.59,6.61,4.1,3887.27,1,5053.451
1.08,Very Good,I,SI1,60.5,60.0,4276,6.61,6.67,4.02,3959.26,1,5147.0380000000005
1.14,Ideal,I,SI2,62.1,55.0,4276,6.71,6.72,4.17,3750.88,1,4876.144
1.07,Ideal,J,SI1,62.1,56.0,4276,6.54,6.6,4.08,3996.26,1,5195.138000000001
1.0,Good,H,SI1,64.9,56.0,4276,6.24,6.31,4.07,4276.0,1,5558.8
1.01,Good,F,SI1,64.2,58.0,4276,6.33,6.31,4.06,4233.66,1,5503.758
1.01,Good,F,SI1,64.1,60.0,4276,6.21,6.16,3.97,4233.66,1,5503.758
1.01,Fair,F,SI1,65.9,58.0,4276,6.16,6.1,4.04,4233.66,1,5503.758
1.01,Fair,F,SI1,67.2,60.0,4276,6.06,6.0,4.05,4233.66,1,5503.758
1.01,Fair,D,SI1,65.9,60.0,4276,6.32,6.18,4.12,4233.66,1,5503.758
1.01,Ideal,F,SI1,62.3,55.0,4276,6.38,6.31,3.95,4233.66,1,5503.758
1.12,Premium,E,SI2,62.4,58.0,4277,6.59,6.64,4.13,3818.75,1,4964.375
1.29,Fair,G,I1,66.0,58.0,4277,6.82,6.75,4.48,3315.5,0,4310.150000000001
0.9,Fair,D,VS2,57.4,65.0,4277,6.26,6.29,3.6,4752.22,1,6177.886
1.04,Ideal,G,SI2,62.0,57.0,4277,6.6,6.53,4.07,4112.5,1,5346.25
1.04,Premium,G,SI2,60.9,58.0,4277,6.58,6.52,3.99,4112.5,1,5346.25
1.04,Premium,G,SI2,62.9,58.0,4277,6.47,6.43,4.06,4112.5,1,5346.25
0.9,Good,E,VS2,64.0,58.0,4278,6.02,6.07,3.87,4753.33,1,6179.329
1.0,Ideal,J,VS2,61.9,54.0,4278,6.41,6.45,3.98,4278.0,1,5561.400000000001
0.33,Ideal,E,SI1,62.0,54.0,579,4.41,4.43,2.74,1754.55,0,2280.915
0.33,Ideal,E,SI1,62.5,55.0,579,4.42,4.45,2.77,1754.55,0,2280.915
0.33,Premium,H,VS1,59.2,58.0,579,4.5,4.55,2.68,1754.55,0,2280.915
0.33,Ideal,G,VS2,61.2,55.0,579,4.46,4.49,2.74,1754.55,0,2280.915
0.33,Ideal,E,SI1,61.9,57.0,579,4.43,4.46,2.75,1754.55,0,2280.915
0.32,Ideal,G,VS2,61.5,55.0,580,4.39,4.43,2.71,1812.5,0,2356.25
0.32,Ideal,H,VS1,61.4,55.0,580,4.43,4.49,2.74,1812.5,0,2356.25
0.32,Ideal,H,VS1,61.0,56.0,580,4.43,4.45,2.71,1812.5,0,2356.25
0.26,Premium,F,VS1,59.5,58.0,580,4.22,4.18,2.5,2230.77,0,2900.001
0.26,Ideal,F,VS1,62.3,56.0,580,4.1,4.08,2.55,2230.77,0,2900.001
0.26,Ideal,F,VS1,60.9,57.0,580,4.13,4.11,2.51,2230.77,0,2900.001
0.26,Premium,E,VS1,60.1,60.0,580,4.15,4.1,2.48,2230.77,0,2900.001
0.26,Premium,E,VS2,62.1,56.0,580,4.13,4.11,2.56,2230.77,0,2900.001
0.26,Premium,E,VS2,60.4,58.0,580,4.19,4.15,2.52,2230.77,0,2900.001
0.26,Ideal,E,VS1,61.8,55.0,580,4.13,4.09,2.54,2230.77,0,2900.001
0.26,Premium,E,VS1,61.9,58.0,580,4.11,4.1,2.54,2230.77,0,2900.001
0.26,Ideal,D,VS1,62.0,55.0,580,4.12,4.1,2.55,2230.77,0,2900.001
0.35,Ideal,I,SI2,61.6,55.0,580,4.62,4.53,2.82,1657.14,0,2154.282
0.32,Premium,E,VS2,59.3,58.0,580,4.45,4.49,2.65,1812.5,0,2356.25
0.3,Very Good,H,VVS2,63.0,56.0,581,4.24,4.27,2.68,1936.67,0,2517.6710000000003
0.3,Very Good,H,VVS2,62.0,59.0,581,4.27,4.34,2.67,1936.67,0,2517.6710000000003
0.3,Very Good,G,VS1,62.6,56.0,581,4.29,4.31,2.69,1936.67,0,2517.6710000000003
0.3,Ideal,H,VVS2,62.5,55.0,581,4.29,4.32,2.69,1936.67,0,2517.6710000000003
0.3,Ideal,H,VVS2,61.5,56.0,581,4.34,4.38,2.68,1936.67,0,2517.6710000000003
0.38,Ideal,D,SI1,62.3,57.0,581,4.6,4.65,2.88,1528.95,0,1987.6350000000002
0.34,Good,F,SI1,61.9,56.0,581,4.5,4.52,2.79,1708.82,0,2221.466
0.43,Premium,H,I1,62.0,59.0,581,4.83,4.78,2.98,1351.16,0,1756.5080000000003
0.31,Fair,E,VS2,55.9,62.0,581,4.6,4.56,2.56,1874.19,0,2436.447
0.38,Very Good,I,SI1,60.2,60.0,581,4.65,4.68,2.81,1528.95,0,1987.6350000000002
0.38,Ideal,I,SI1,62.3,56.0,581,4.58,4.63,2.87,1528.95,0,1987.6350000000002
0.97,Ideal,J,VS1,61.3,57.0,4278,6.37,6.41,3.92,4410.31,1,5733.403000000001
1.07,Premium,G,SI2,58.5,61.0,4278,6.71,6.59,3.89,3998.13,1,5197.569
1.07,Premium,G,SI2,59.9,59.0,4278,6.67,6.61,3.98,3998.13,1,5197.569
1.24,Premium,E,SI2,60.8,57.0,4278,6.98,6.94,4.23,3450.0,0,4485.0
1.24,Premium,E,SI2,60.8,57.0,4278,6.98,6.94,4.23,3450.0,0,4485.0
1.07,Premium,G,SI2,59.8,60.0,4278,6.7,6.65,3.99,3998.13,1,5197.569
0.91,Good,F,SI1,63.9,55.0,4279,6.1,6.17,3.92,4702.2,1,6112.86
0.91,Very Good,F,SI1,59.7,55.0,4279,6.33,6.36,3.79,4702.2,1,6112.86
0.61,Ideal,D,VVS1,62.1,56.0,4279,5.46,5.43,3.38,7014.75,1,9119.175000000001
1.03,Ideal,F,SI2,61.9,56.0,4280,6.47,6.43,3.99,4155.34,1,5401.942
1.02,Ideal,I,VS2,60.8,57.0,4281,6.42,6.5,3.93,4197.06,1,5456.178000000001
1.02,Ideal,I,VS2,62.7,56.0,4281,6.37,6.43,4.01,4197.06,1,5456.178000000001
0.92,Very Good,G,SI1,61.8,54.0,4281,6.25,6.37,3.9,4653.26,1,6049.238
0.64,Ideal,D,VVS1,61.5,56.0,4281,5.57,5.59,3.43,6689.06,1,8695.778
0.98,Fair,G,SI1,64.4,56.0,4281,6.33,6.24,4.03,4368.37,1,5678.881
1.05,Fair,I,VS1,58.9,66.0,4281,6.71,6.6,3.92,4077.14,1,5300.282
1.05,Very Good,E,SI2,63.2,59.0,4281,6.43,6.36,4.04,4077.14,1,5300.282
1.13,Very Good,F,SI2,62.3,59.0,4282,6.65,6.68,4.15,3789.38,1,4926.194
1.03,Very Good,F,SI1,62.5,59.0,4282,6.41,6.45,4.02,4157.28,1,5404.464
1.03,Ideal,J,VS2,61.6,57.0,4283,6.52,6.47,4.0,4158.25,1,5405.725
1.11,Very Good,J,VS2,61.8,56.0,4283,6.59,6.64,4.09,3858.56,1,5016.128
1.1,Very Good,J,SI2,61.8,58.0,4283,6.6,6.63,4.09,3893.64,1,5061.732
1.03,Very Good,H,SI2,62.8,59.0,4283,6.4,6.43,4.03,4158.25,1,5405.725
1.03,Ideal,H,SI2,60.6,56.0,4283,6.53,6.63,3.99,4158.25,1,5405.725
1.11,Premium,F,SI2,62.1,58.0,4283,6.63,6.51,4.1,3858.56,1,5016.128
1.07,Premium,E,SI2,60.5,59.0,4284,6.59,6.67,4.01,4003.74,1,5204.862
0.91,Good,G,VS1,63.4,54.0,4284,6.07,6.24,3.9,4707.69,1,6119.996999999999
0.91,Good,G,VS1,63.6,60.0,4284,6.03,6.11,3.86,4707.69,1,6119.996999999999
0.91,Good,G,VS1,63.2,58.0,4284,6.07,6.15,3.86,4707.69,1,6119.996999999999
0.81,Premium,D,VS1,62.3,58.0,4284,5.94,6.0,3.72,5288.89,1,6875.557000000001
0.91,Very Good,E,SI1,62.1,60.0,4284,6.21,6.25,3.87,4707.69,1,6119.996999999999
1.02,Very Good,F,SI2,60.9,58.0,4284,6.43,6.55,3.95,4200.0,1,5460.0
1.0,Premium,G,SI2,61.8,60.0,4284,6.37,6.34,3.93,4284.0,1,5569.2
1.5,Fair,J,I1,68.8,57.0,4284,6.94,6.87,4.75,2856.0,0,3712.8
0.91,Ideal,E,SI1,62.3,57.0,4284,6.21,6.25,3.88,4707.69,1,6119.996999999999
1.0,Ideal,G,SI2,62.8,57.0,4284,6.37,6.31,3.98,4284.0,1,5569.2
1.02,Very Good,H,SI2,63.1,59.0,4284,6.43,6.37,4.04,4200.0,1,5460.0
1.02,Premium,I,SI1,62.7,55.0,4284,6.48,6.41,4.04,4200.0,1,5460.0
1.02,Premium,H,SI2,62.5,54.0,4284,6.44,6.4,4.01,4200.0,1,5460.0
1.02,Premium,I,SI1,58.0,58.0,4284,6.84,6.6,3.9,4200.0,1,5460.0
0.9,Ideal,F,SI1,61.5,56.0,4284,6.25,6.2,3.83,4760.0,1,6188.0
1.02,Premium,H,SI2,60.9,59.0,4284,6.51,6.46,3.95,4200.0,1,5460.0
1.02,Premium,H,SI2,59.8,59.0,4284,6.54,6.5,3.9,4200.0,1,5460.0
1.02,Ideal,H,SI2,61.8,55.0,4284,6.51,6.47,4.01,4200.0,1,5460.0
1.02,Premium,F,SI2,60.0,60.0,4284,6.57,6.53,3.93,4200.0,1,5460.0
0.72,Ideal,E,VVS2,62.1,56.0,4285,5.72,5.77,3.57,5951.39,1,7736.807000000001
1.01,Good,E,SI2,61.4,64.0,4285,6.29,6.42,3.9,4242.57,1,5515.340999999999
1.02,Very Good,E,SI2,58.7,63.0,4286,6.61,6.55,3.86,4201.96,1,5462.548000000001
0.9,Very Good,E,SI1,62.9,56.0,4286,6.09,6.12,3.84,4762.22,1,6190.886
0.92,Premium,G,VS2,61.6,62.0,4287,6.3,6.24,3.86,4659.78,1,6057.714
0.9,Very Good,E,SI2,59.9,57.0,4288,6.25,6.34,3.77,4764.44,1,6193.772
0.71,Good,D,VS2,63.6,54.0,4289,5.7,5.75,3.64,6040.85,1,7853.1050000000005
0.91,Very Good,E,SI1,63.9,57.0,4289,6.05,6.12,3.89,4713.19,1,6127.147
0.9,Very Good,D,SI1,62.1,60.0,4289,6.11,6.19,3.82,4765.56,1,6195.228000000001
1.04,Very Good,I,SI1,62.0,57.0,4290,6.47,6.5,4.02,4125.0,1,5362.5
1.04,Premium,I,SI1,61.8,60.0,4290,6.47,6.51,4.01,4125.0,1,5362.5
1.04,Ideal,H,SI2,61.1,56.0,4290,6.6,6.66,4.05,4125.0,1,5362.5
1.03,Ideal,G,SI2,62.9,57.0,4290,6.37,6.47,4.04,4165.05,1,5414.5650000000005
1.04,Good,E,SI2,62.3,62.0,4290,6.4,6.44,4.0,4125.0,1,5362.5
1.12,Ideal,H,SI1,62.7,56.0,4290,6.66,6.61,4.16,3830.36,1,4979.468000000001
1.02,Ideal,G,SI2,62.7,57.0,4291,6.42,6.44,4.03,4206.86,1,5468.918
1.02,Very Good,G,SI2,62.9,59.0,4291,6.38,6.4,4.02,4206.86,1,5468.918
1.02,Premium,G,SI2,62.5,59.0,4291,6.37,6.42,4.0,4206.86,1,5468.918
1.02,Very Good,G,SI2,61.6,61.0,4291,6.46,6.47,3.98,4206.86,1,5468.918
0.9,Very Good,D,SI1,61.8,59.0,4291,6.13,6.16,3.8,4767.78,1,6198.114
1.29,Premium,I,SI2,61.1,62.0,4291,7.0,6.94,4.26,3326.36,0,4324.268
1.03,Very Good,J,VS1,63.4,58.0,4292,6.36,6.42,4.05,4166.99,1,5417.0869999999995
1.05,Very Good,I,SI1,63.5,58.0,4292,6.46,6.43,4.09,4087.62,1,5313.906
0.85,Very Good,F,VS1,62.0,55.0,4293,6.08,6.14,3.78,5050.59,1,6565.767000000001
0.56,Ideal,D,IF,61.9,57.0,4293,5.28,5.31,3.28,7666.07,1,9965.891
0.91,Premium,H,VS2,60.6,58.0,4293,6.3,6.25,3.8,4717.58,1,6132.854
1.18,Very Good,J,SI2,63.5,57.0,4294,6.68,6.74,4.26,3638.98,1,4730.674
1.13,Premium,H,SI2,62.3,59.0,4294,6.68,6.65,4.15,3800.0,1,4940.0
1.01,Very Good,J,SI1,62.2,57.0,4295,6.35,6.39,3.96,4252.48,1,5528.223999999999
1.0,Ideal,H,SI2,59.4,55.0,4295,6.59,6.65,3.93,4295.0,1,5583.5
1.0,Very Good,D,SI2,61.5,63.0,4295,6.32,6.27,3.87,4295.0,1,5583.5
1.0,Good,D,SI2,57.8,58.0,4295,6.61,6.55,3.8,4295.0,1,5583.5
1.0,Very Good,D,SI2,63.5,59.0,4295,6.35,6.32,4.02,4295.0,1,5583.5
1.0,Fair,G,SI1,64.4,57.0,4295,6.32,6.28,4.06,4295.0,1,5583.5
1.0,Very Good,G,SI1,63.1,56.0,4295,6.41,6.31,4.01,4295.0,1,5583.5
1.0,Fair,G,SI1,66.2,58.0,4295,6.25,6.15,4.11,4295.0,1,5583.5
1.0,Very Good,D,SI2,63.3,60.0,4295,6.29,6.19,3.95,4295.0,1,5583.5
1.0,Premium,D,SI2,60.3,58.0,4295,6.48,6.45,3.9,4295.0,1,5583.5
1.0,Premium,D,SI2,60.8,60.0,4295,6.45,6.41,3.91,4295.0,1,5583.5
0.9,Very Good,G,VS2,60.5,60.0,4296,6.2,6.24,3.76,4773.33,1,6205.329
0.9,Good,G,VS2,61.5,61.0,4296,6.18,6.21,3.81,4773.33,1,6205.329
1.02,Ideal,H,SI2,60.5,57.0,4297,6.52,6.56,3.95,4212.75,1,5476.575
0.9,Very Good,G,VS1,62.4,58.0,4297,6.14,6.16,3.84,4774.44,1,6206.772
0.93,Premium,F,SI1,62.3,58.0,4297,6.22,6.18,3.86,4620.43,1,6006.559
0.91,Good,H,VS1,63.4,56.0,4298,6.12,6.18,3.9,4723.08,1,6140.004
1.01,Very Good,F,SI2,61.8,56.0,4298,6.43,6.38,3.96,4255.45,1,5532.085
1.01,Premium,E,SI1,61.6,59.0,4299,6.44,6.42,3.96,4256.44,1,5533.371999999999
1.01,Very Good,E,SI2,63.4,59.0,4299,6.32,6.26,3.99,4256.44,1,5533.371999999999
1.01,Very Good,F,SI2,63.2,58.0,4299,6.43,6.3,4.02,4256.44,1,5533.371999999999
1.01,Very Good,F,SI2,63.3,57.0,4299,6.39,6.37,4.04,4256.44,1,5533.371999999999
1.01,Ideal,G,SI2,61.5,57.0,4299,6.5,6.42,3.97,4256.44,1,5533.371999999999
1.2,Very Good,I,SI1,63.1,61.0,4301,6.65,6.58,4.18,3584.17,1,4659.421
1.2,Premium,H,SI2,60.8,59.0,4301,6.8,6.75,4.12,3584.17,1,4659.421
0.96,Ideal,G,SI1,63.0,53.0,4301,6.24,6.21,3.92,4480.21,1,5824.273
1.01,Good,F,SI2,61.5,62.0,4302,6.41,6.46,3.96,4259.41,1,5537.233
1.13,Ideal,E,SI2,62.4,56.0,4303,6.66,6.63,4.15,3807.96,1,4950.348
0.91,Very Good,D,SI1,62.8,57.0,4303,6.12,6.17,3.86,4728.57,1,6147.141
1.02,Very Good,H,SI2,59.7,58.0,4303,6.53,6.57,3.91,4218.63,1,5484.219
1.09,Premium,J,VS1,59.3,57.0,4303,6.79,6.74,4.01,3947.71,1,5132.023
0.77,Very Good,F,VVS1,61.1,57.0,4304,5.91,5.94,3.62,5589.61,1,7266.4929999999995
0.93,Very Good,E,SI1,62.8,56.0,4304,6.19,6.24,3.9,4627.96,1,6016.348
0.8,Very Good,E,VVS2,62.9,59.0,4304,5.88,5.95,3.72,5380.0,1,6994.0
1.01,Very Good,F,SI2,59.1,57.0,4304,6.57,6.62,3.9,4261.39,1,5539.807000000001
0.9,Ideal,D,SI1,60.7,57.0,4304,6.23,6.16,3.76,4782.22,1,6216.886
0.9,Very Good,D,SI1,63.3,57.0,4304,6.12,6.07,3.86,4782.22,1,6216.886
0.9,Premium,D,SI1,61.2,60.0,4304,6.19,6.14,3.77,4782.22,1,6216.886
0.9,Premium,D,SI1,62.7,56.0,4304,6.16,6.12,3.85,4782.22,1,6216.886
0.9,Premium,D,SI1,61.5,58.0,4304,6.21,6.15,3.8,4782.22,1,6216.886
0.9,Very Good,D,SI1,61.0,63.0,4304,6.13,6.1,3.73,4782.22,1,6216.886
0.9,Very Good,D,SI1,63.5,57.0,4304,6.15,6.11,3.89,4782.22,1,6216.886
0.9,Premium,D,SI1,59.4,62.0,4304,6.24,6.19,3.69,4782.22,1,6216.886
0.9,Premium,D,SI1,62.7,58.0,4304,6.15,6.09,3.84,4782.22,1,6216.886
0.9,Premium,D,SI1,62.6,58.0,4304,6.15,6.11,3.84,4782.22,1,6216.886
1.0,Good,H,VS2,63.6,57.0,4305,6.35,6.26,4.01,4305.0,1,5596.5
1.01,Very Good,H,SI1,62.5,58.0,4306,6.35,6.38,3.98,4263.37,1,5542.381
1.01,Very Good,H,SI1,62.3,57.0,4306,6.36,6.42,3.98,4263.37,1,5542.381
1.13,Ideal,I,SI2,61.7,57.0,4307,6.59,6.7,4.13,3811.5,1,4954.95
1.11,Very Good,E,SI2,62.3,58.0,4307,6.64,6.68,4.15,3880.18,1,5044.234
